LAPSYD	PHOIBLE_REF	PHOIBLE_KEY
Agnew, A. and Pike, E. G. 1957. Phonemes of Ocaina (Huitoto). International Journal of American Linguistics 23: 24-7.	Agnew, Arlene; Pike, Evelyn G.. 1957. {Phonemes of Ocaina (Huitoto)}. 23. 24--27	AgnewPike1957
Aguirre Licht, Daniel. 1999. Embera: Fundamentos Mofosintácticos para una Gramática Embera. Lincom Europa, München and Newcastle.		
Ahland, Colleen Anne. 2012. A Grammar of Northern and Southern Gumuz. Ph. D. dissertation, University of Oregon, Eugene. Availalble at https://scholarsbank.uoregon.edu/xmlui/bit		
Aikhenvald, Alexandra Y. 2001. Dicionário Tariana-Portuguȇs e Portuguȇs-Tariana. (Boletim do Museu Paraense Emílio Goeldi, Série Antropologia 17/1). Belém, Pará.		
Aikhenvald, Alexandra Y. 2003. A Grammar of Tariana, from Northwest Amazonia. Cambridge University Press, Cambridge.	Aikhenvald, Alexandra, Y.. 2003. A Grammar of Tariana, from Northwest Amazonia. Cambridge. Cambridge University Press	1831_Aikhenvald2003
Aikhenvald, Alexandra Y. 0000 [Tariana Vocabulary] http://www.aikhenvaldlinguistics.com/images/pdfs/tariana/language/vocabulary-for-grammar.pdf		
Aikhenvald, Alexandra. 1995. Bare. Lincom Europa, München and Newcastle.		
Aklilu Yilma. 1988. The phonology of Sheko. MA thesis, Addis Ababa University. (not seen)		
Aklilu Yilma. 1996. Sheko phonology and morphophonemics. Journal of Ethiopian Studies 29(2): 23-46. (not seen)		
Alaki, Thomas Kuku & Russell Norton. 2013. Tocho phonology and orthography. In Thilo C. Schadeberg & Roger M. Blench, eds, Nuba Mountain Language Studies. Rüdiger Köppe, Köln: 177-194.		
Albert, Roy & David Leedom Shaul. 1985. A Concise Hopi and English Lexicon. John Benjamins, Amsterdam.		
Alekseev, Mikhail & Sabrina Shikhalieva. 2003. Tabasaranskij Jazyk. Academia, Moscow.		
Allen, E. J. 1976. Kullo. In M. L. Bender (ed.), The Non-Semitic Languages of Ethiopia. African Studies Center, Michigan State University, East Lansing: 324-350.		
Allen, Edward J. 1973. A Grammar of Buem, the Lelemi Language. Ph D. dissertation, University of London. (not seen)		
Allen, W.S. 1950. Notes on the phonetics of an East Armenian speaker. Transactions of the Philological Society: 180-206.	Allen, W. Sidney. 1950. {Notes on the Phonetics of an Eastern Armenian Speaker}. 180--206	Allen1950
Allin, Trevor R. 1976. A Grammar of Resigaro. Summer Institute of Linguistics, Horsleys Green, High Wycombe. Available at http://www.sil.org/system/files/reapdata/77/04/10/77041012936164089387131039168533384638/rsi_grm1.pdf		
Allin, Trevor R. 1979. Vocabulario resìgaro. - Documento de Trabajo, 16. Instituto Lingüìstico de Verano., Yarinacocha: 379-528. Available online at --- http://www.sil.org/americas/peru/html/pubs/show_work.asp?id=531		
Aloema, Nardo, Marie Jeanne Pierre, and Cornelis N. van der Ziel, compilers. 1987. Kalihna—Nederlands woordenboek. Paramaribo: Instituut voor Taalwetenschap.		
Alves, Mark J. 2006. A Grammar of Pacoh: A Mon-Khmer Language of the Central Highlands of Vietnam (Pacific Linguistics 580). Research School of Pacific and Asian Studies, ANU, Canberra.		
Alwi, Hasan, Soenjona Dardjowidjojo, Hans Lapoliwa and Anton M. Moeliono. 1998. Tata Bahasa Baku Bahasa Indonesia: Edisi Ketiga. Balai Pustaka, Jakarta.		
Ambrazas, V., Vajtkavichjute, V., Valjatskene, A., Morkunas, K., Sabaljauskas, A., and Ul'vidas, K. 1966. Litovskij jazyk. In V.V. Vinogradov (ed.), Jazyki Narodov SSSR, Vol.1, Indoevropejskie Jazyki Nauka, Leningrad and Moscow: 500-27.		
Amery, Rob. 1988. Warrabarna Kaurna! Reclaiming Aboriginal languages from written historical sources: Kaurna case study. Ph. D. dissertation (2 vols.), University of Adelaide, Adelaide. (Available at https://digital.library.adelaide.edu.au/dspace/handle/2440/19250)		
Amery, Rob. 2016. Warraparna Kaurna! Reclaiming an Australian language, electronic edition. University of Adelaide Press, Adelaide. Available at https://www.adelaide.edu.au/press/system/files/2019-04/uap-kaurna-ebook.pdf		
Anceaux, J.C. 1965. The Nimboran Language: Phonology and Morphology. Nijhoff, The Hague.	Anceaux, Johannes C.. 1965. {The Nimboran Language: Phonology and Morphology}. The Hague. Martinus Nijhoff	Anceaux1965
Andersen, T. 1986. Tone splitting and vowel quality: evidence from Lugbara. Studies in African Linguistics 17:55-68.	Anderson, T.. 1986. {Tone Splitting and Vowel Quality: Evidence From Lugbara}. 17. 55--68	Anderson1986
Andersen, Torben. 1986. The phonemic system of Madi. Afrika und Übersee. 69:193-207.		
Andersen, Torben. 2006. Book review: Mairi Blackings and Nigel Fabb, A grammar of Ma’di. Lingua 116: 2221–2237.		
Anderson, Doris. 1962. Conversational Ticuna. Summer Institute of Linguistics, University of Oklahoma, Norman. Available online at http://www.sil.org/americas/peru/pubs/acd-convrsticuna.pdf		
Anderson, Gregory D. S. & K. David Harrison. 2008. Mundari. In: Gregory D. S. Anderson (ed.), The Munda Languages. Routledge, London and New York: 299-380.		
Anderson, Gregory D. S. 1988. Xakas. Lincom Europa, München & Newcastle.		
Anderson, Gregory David and K David Harrison. 1999. Tyvan. Lincom Europa, München and Newcastle.		
Anderson, Lambert. 1959. Ticuna vowels: with special regard to the system of five tonemes. Publicacaos do Museu Nacional, Serie Linguistica Especial 1 (Museu Nacional, Rio de Janeiro): 76-119.	Anderson, Lambert. 1959. {Ticuna Vowels: With Special Regard to the System of Five Tonemes}. 1. 79--119	Anderson1959
Anderson, V. B. and Ian Maddieson. 1994. Acoustic characteristics of Tiwi coronal stops. UCLA Working Papers in Phonetics 87: 131-162.		
Anderton, A. 1989. The Sounds of Cacua, based on data collected by the Summer Institute of Linguistics. Ms., UCLA.	Anderton, A.. 1989. {The Sounds of Cacua, Based on Data Collected by the Summer Institute of Linguistics}. UCLA	Anderton1989
Andreev, I. A. 1966. Chuvashskij Jazyk. In V.V. Vinogradov (ed.), Jazyki Narodov SSSR: Vol 2. Tjurkskie Jazyki. Nauka, Moscow and Leningrad: 43-65.		
Anon [Menno Kroeker]. 1996. Txa²wã¹wãn³txa² kwa³jan³txa²wãn³txa² hau³hau³kon³nha²jau³su²: DICIONÁRIO ESCOLAR BILÍNGUE NAMBIKUARA - PORTUGUÊS/PORTUGUÊS - NAMBIKUARA (trial edition). Available at https://www.sil.org/system/files/reapdata/13/86/43/138643613787636551319189169580945190737/NBDIC.pdf		
Anon. 0000 2004. Organised Phonology Data: Washkuk (Kwoma) Language [KMO], SIL Papua New Guiines. http://www.sil.org/pacific/png/pubs/0000362/Washkuk.pdf		
Anonymous. 1981? Organised Phonology Data: Suena Language [SUE]. SIL Papua New Guinea.		
Anonymous. 2011. Organised Phonology Data, Organised Phonology Data, Pawaia (Oyobe dialect) Language [PWA] Karimui – Chimbu & Gulf Province. SIL Papua New Guinea. Available at http://www-01.sil.org/pacific/png/abstract.asp?id=928474542244.		
Anonymous. 0000 Organised Phonology Data: Wahgi Language [WAK or WHG?]. SIL Papua-New Guinea, Ukarumpa. Available at http://www-01.sil.org/pacific/png/pubs/928474542464/Wahgi.pdf		
Aoki, H. 1973. Nez Perce Grammar. University of California Press, Berkeley and Los Angeles.		
Aoki, H. 1994. Nez Perce Dictionary. University of California Press, Berkeley and Los Angeles.		
Applegate, J. R. 1958. An Outline of the Structure of Shilha. American Council of Learned Societies, New York.	Applegate, Joseph R.. 1958. {An Outline of the Structure of Shilha}. New York. American Council of Learned Societies	Applegate1958
Archangeli, Diana and Douglas Pulleyblank. 1989. Yoruba Vowel Harmony. Linguistic Inquiry. 20 (2): 173-217		
Arensen, Jon. 1982. Murle Grammar. College of Education, University of Juba, and Summer Institute of Linguistics, Juba.		
Armour, Malcolm S., Lois Ashley, Seymour Ashley, Nurhadan Halud, & Irene Hassan, compilers. 1994. Tausug-English dictionary: Kabtangan iban maana, 2nd ed. (Sulu Studies 6). Notre Dame of Jolo College, Jolo, and Summer Institute of Linguistics, Manila.		
Aronson, H.I. 1968. Bulgarian Inflectional Morphophonology. Mouton, The Hague.	Aronson, H. I.. 1968. {Bulgarian Inflectional Morphophonology}. The Hague. Mouton	Aronson1968
Arvaniti, Amelia. 1999. Illustrations of the IPA: Standard Modern Greek. Journal of the International Phonetic Association 29: 167-177.	Arvaniti, Amalia. 1999. Illustrations of the IPA: Standard Modern Greek. Cambridge University Press. 29. 167--172/1--6	ell_2arvaniti1999
Aschmann, Herman P. 1946. Totonaco phonemes. International Journal of American Linguistics 12: 34-43.	Aschmann, Herman Pedro. 1946. {Totonaco Phonemes}. 12. 34--43	Aschmann1946
Aschmann, Herman P. 1973. Diccionario Totonaco de Papantla, Veracruz. Instituto Lingüístico del Verano, Mexico. Available at http://www.sil.org/system/files/reapdata/16/22/12/16221248150020975315367225463551099478/S016b_DicTotonacoFacs_top.pdf		
Aschmann, Richard P. 1993. Proto Witotoan. Summer Institute of Linguistics and University of Texas at Arlington, Dallas. (has frequency data, from lexicon)		
Aschmann, Richard P. 1993. Proto Witotoan. Summer Institute of Linguistics and University of Texas, Arlington. (has freq data, from lexicon)		
Aschmann, Richard P. 1993. Proto Witotoan. Summer Institute of Linguistics and University of Texas, Arlington. (has frequency data, from lexicon)		
Ashley, Lois and Seymour Ashley. 1963. The phonemes of Tausug. Papers in Philippine Linguistics 1: 7-17. (summarized in L. A. Reid (ed.) 1971. Philippine Minor Languages: Word Lists and Phonologies. University of Hawaii Press, Honolulu: 43)		
Augustitis, D. 1964. Das Lithauische Phonationssystem. Sagner, Munich.	"Augustitis, Daine. 1964. {Das lithauische Phonationssystem}. M{\""{u}}nchen. Otto Sagner. 12"	Augustitis1964
Austin, Peter A. 1981. A Grammar of Diyari, South Australia. Cambridge University Press, Cambridge, New York.	Austin, Peter. 1981. A Grammar of Diyari, South Australia. Cambridge. Cambridge University Press. 32. xv+269	28483
Avelino, Heriberto, Eurie Shin & Sam Tilsen. 2011. The phonetics of laryngealization in Yucatec Mayan. In H. Avelino (ed.) New Perspectives in Mayan Linguistics.Cambridge Scholars Publishing, Cambridge: 1-20.		
Aviles, Arthur J. 2008. The Phonology and Morphology of the Dar Daju Daju Language. M. A. Thesis, University of North Dakota, Grand Forks. Available at http://arts-sciences.und.edu/summer-institute-of-linguistics/theses/_files/docs/2008-aviles-arthur-j.pdf		
Aviles, Arthur J. 2008. The Phonology and Morphology of the Dar Daju Daju language. M.A. thesis, University of North Dakota, Grand Forks.		
Avrorin, V. A. 1957. Osnovnye Pravila Proiznashenija i Pravopisanija Nanaiskogo Jazyka. Gosudarstvennoe Uchebno-Pedagogicheskoe Izdalelstvo Ministerstva Prosveshenija RSFSR, Leningrad.		
Avrorin, V. A. 1968. Nanajski jazyk. In V.V. Vinogradov (ed.), Jazyki Narodov SSSR, Vol. 5. Nauka, Leningrad and Moscow: 5: 129-48.		
Awobuluyi, O. 1971. The phonology of Yerwa Kanuri. Research Notes, Department of Linguistics and Nigerian Languages 4/1. University of Ibadan, Nigeria: 1-21.	Awobuluyi, A. Oladele. 1971. {The Phonology of Yerwa Kanuri}. University of Ibadan. 4. 1--21	Awobuluyi1971
Baart, Joan L. G. 2003. Contrastive tone in Kalam Kohistani. Linguistic Discovery 2(2): 1-20.		
Baart, Joan L. G. 2004. Tone and song in Kalam Kohistani (Pakistan). In Hugo Quené & Vincent van Heuven (eds.): On Language and Speech: Studies for Sieb G. Nooteboom. Utrecht: Netherlands Graduate Institute of Linguistics.		
Baart, Joan L. G.. 1999. Tone rules in Kalam Kohistani (Garwi, Bashkarik). Bulletin of the School of Oriental and African Studies 62.1: 88-104.		
Baart, Joan L.G. 1997. The Sounds and Tones of Kalam Kohistani. National Institute of Pakistani Studies, Quaid-i-Azam University, Islamabad and Summer Institute of Linguistics, Horsleys Green.		
Babini, Maurizio. 1997. Précis de prononciation italienne. Lyon, Presses Universitaires de Lyon.		
Bach, Emmon. 1975. Long Vowels and Stress in Kwakiutl. Texas Linguistic Forum 2, 9-19.		
Bach, Emmon. 1975. Long Vowels and Stress in Kwakiutl. Texas Linguistic Forum 2, 9-19. (not seen)		
Bagemihl, Bruce. 1991. Syllable structure in Bella Coola. Linguistic Inquiry 22: 589-646.		
Baitchura, Uzbek. 1978. Instrumental-phonetic data on the word stress and intonation in Khakas and Buryat. Central Asiatic Journal 22: 1-31.		
Balasubramanian, T. 1972. The phonetics of colloquial Tamil. Ph.D. dissertaton. University of Edinburgh. Avaialble at https://www.era.lib.ed.ac.uk/handle/1842/23695		
Ball, Martin J. and Briony Williams. 2001. Welsh Phonetics. Edwin Mellen Press, Lewiston NY.		
Ballard, W. L. 1975. Aspects of Yuchi morphonology. In J. M. Crawford (ed.), Studies in Southeastern Indian Languages. University of Georgia Press, Athens, Georgia: 164-87.	Ballard, W. L.. 1975. {Aspects of Yuchi Morphonology}. Studies in Southeastern Indian Languages. Athens, Georgia. University of Georgia Press. 164--187	Ballard1975
Bamgbose, A. 1966. A grammar of Yoruba. Cambridge University Press, Cambridge.	Bamgbose, Ayo. 1966. {A Grammar of Yoruba}. Cambridge. Cambridge University Press	Bamgbose1966
Bandhu, Churamani, B. M. Dahal, Andreas Holzhausen & Austin Hale. 1971. Nepali Segmental Phonology. Summer Institute of Linguistics, Tribhuvan University, Kirtipur.	Bandhu, C. M.; Dahal, B. M.; Holzhausen, A.; Hale, A.. 1971. {Nepali Segmental Phonology}. Kirtipur. Summer Institute of Linguistics, Tribhuvan University	Bandhu_etal1971
Bannert, Robert. 1999. A syllabification algorithm for Standard Swedish. Proceedings of the XIVth International Congress of Phonetic Sciences. San Francisco: J. Ohala, Y. Hasegawa, M. Ohala, D. Grandville & A. Bailey (eds.), vol.1: 671-674.		
Baptista, Priscilla M. & Ruth B. Wallin. 1974. La jerarquia fonologica del Bayano Cuna. In P. M. Baptista, ed., Lenguas de Panama, Tomo I: Sistemas Fonologicos. Instituto Lingüístico de Verano and Instituto Nacional de Cultura, Panama: 5-16.		
Barashkov, P. P. 1958. Zvukovoj sostav Jakustskogo jazyk. Jakutsk. (not seen)		
Barbosa, Eurípedes 1992. Aspectos fonológicos da língua Yatê. Dissertação de Mestrado. Universidade de Brasília, Brasília. (not seen, cited in Silva 2011).		
Barker, M.A.R. 1963b. Klamath Texts. University of California Press, Berkeley and Los Angeles.		
Barker, M.A.R. 1964. Klamath Grammar. University of California Press, Berkeley and Los Angeles.	Barker, M. A. R.. 1964. {Klamath Grammar}. Berkeley. University of California Press. 32	Barker1964
Barker, M.A.R. 1983a. Klamath Dictionary. University of California Press, Berkeley and Los Angeles.		
Barreteau, Daniel and André Brunet. 2000. Dictionnaire Mada. Dietrich Reimer, Berlin.		
Barreteau, Daniel. 1988. Description du Mofu-Gudur. Livre 1: Phonologie. Editions de l'ORSTOM, Paris (PL8026 C53 B273 not copied) (has frequency data — /m/ is frequent nominalizer, hence is most frequent C)		
Bartos, George F. 1977. Miriam phonemes. Te Reo. 20: 29-69. (not seen)		
Bashir, Abeer. 2015. Address and Reference Terms in Midob (Darfur Nubian). Dotawo: A Journal of Nubian Studies 2: 133-153. (has phonological comparison with Arabic)		
Baskakov, N. A. & A. N. Inkizhekova-Grekul. 1953. Xakasskij Jazyk (Foneticheskaja Struktura, Slovarnyj Sostav i Grammaticheskaja Stroj). Appendix to Khakassko-Russkij Slovar. Gosudarstvennoe izdatel'stvo inostrannyx i nacional'nyx slovarej, Moscow: 359-487.		
Bauer, Winifred. 1993. Maori. London: Routledge. (has frequency data)		
Beasley, D. and Pike, K.L. 1957. Notes on Huambisa phonemics. Lingua Posnaniensis 6: 1-8.	Beasley, D.; Pike, K. L.. 1957. {Notes on Huambisa Phonemics}. 6. 1--8	BeasleyPike1957
Beaton, A.C. 1968. [1937] A Grammar of the Fur Language (Linguistic Monograph Series 1). Sudan Research Unit, University of Khartoum, Khartoum.	Beaton, A. C.. 1968. {A Grammar of the Fur Language}. Khartoum. Sudan Research Unit, University of Khartoum. 1	Beaton1968
Beaumont, Clive H. 1969. Tigak phonology. Te Reo 12: 84-90.		
Beaumont, Clive H. 1979. The Tigak language of New Ireland. (Pacific Linguistics Series B, 58). Australian National University, Canberra.	Beaumont, Clive H.. 1979. {The Tigak Language of New Ireland}. Canberra. Australian National University. 58	Beaumont1979
Beer, Samuel James. 2017. Grammatical Contraction in Nyang’i: A Decriptive and Comparative Study. Ph D. dissertation, University of Colorado.		
Bell, A. and R. Heins. 1993. Phonetics of Jemez vowels. Journal of the Acoustical Society of America 93.2297.		
Bell, Alan. 1993. Jemez tones and stress. Colorado Research in Linguistics, 12, 26-34. University of Colorado at Boulder. (not seen)		
Bell, H. 1968. The tone system of Mahas Nubian, Journal of African Languages, 7/1: 26-32.	Bell, Herman. 1968. {The Tone System of Mahas Nubian}. 7. 26--32	Bell1968
Bell, H. 1971. The phonology of Nobiin Nubian. African Language Review 9: 115-39.	Bell, Herman. 1971. {The Phonology of Nobiin Nubian}. 9. 115--139	Bell1971
Bellsolá, Domingo G. 1973. Diccionario de la Rima de la Lengua Española. Ediciones Bellsolá, Barcelona.		
Benaissa, Taik. 1979. Fonologia del Saliba. In Cathcart, Marilyn E. and others, eds, Sistemas fonológicos de idiomas colombianos 4. Ministerio de Gobierno and Instituto Lingüístico de Verano, Bogotá: 89-98.		
Benaissa, Taik. 1991. Vocabulario Sáliba-Español/Español-Sáliba. Editorial Alberto LLeras Camargo, Lomalinda. (Available at https://www.sil.org/system/files/reapdata/37/19/90/3719903062378379285933462195847008435/27582.pdf)		
Bender, Lionel M. 1996. Kunama. Lincom Europa, Munich and Newcastle.		
Bender, M.L. 1968. Analysis of a Barya word list. Anthropological Linguistics 10.9:1-24.	Bender, M. Lionel. 1968. {Analysis of a Barya Word List}. 10. 1--24	Bender1968
Bendor-Samuel, J. 1961. The Verbal Piece in Jebero. Word Supplement: Monograph No. 14.	Bendor-Samuel, John. 1961. {The Verbal Piece in Jebero}. New York. Linguistic Circle of New York. 4	Bendor-Samuel1961
Benedicto, Elena & Ken Hale. 2000. Mayangna, a Sumu language: Its variants and its status within Misumalpan. University of Massachusetts Occasional Papers in Linguistics 20: 75-111. University of Massachusetts, Amherst.		
Bennett, J. Fraser. 2005. Reanalyzing Thai glottal codas: Probability, perception and displaced contrast. SIL Electronic Working papers 2005-012. SIL International, Dallas.		
Bentley, Mayrene & Andrew Kulemeka. 2001. Chichewa. Lincom Europa, München and Newcastle.		
Berghäll, Liisa. 2010. Mauwake reference grammar. Ph D dissertation, University of Helsinki.		
Bergman, R., Gray, I., and Gray, C. 1969. Collected Field Reports on the Phonology of Tampulma. Institute of African Studies, University of Ghana, Legon.	Bergman, R.; Gray, I.; Gray, C.. 1969. {Collected Field Reports on the Phonology of Tampulma}. Legon. Institute of African Studies, University of Ghana	Bergman_etal1969
Bergsland, Knut. 1956. Some problems of Aleut phonology. In M. Halle (ed.), For Roman Jakobson. Mouton, the Hague: 38-43.	Bergsland, Knut. 1956. {Some Problems of Aleut Phonology}. For Roman Jakobson. The Hague. Mouton. 38--43	Bergsland1956
Bergsland, Knut. 1959. Aleut dialects of Atka and Attu. Transactions of the American Philosophical Society, new series, 49/3.	Bergsland, Knut. 1959. {Aleut Dialects of Atka and Attu}. Philadelphia. American Philosophical Society. 49	Bergsland1959
Bergsland, Knut. 1994. Aleut Dictionary. Alaska Native Language Center, Fairbanks.		
Bergsland, Knut. 1997. Aleut Grammar. Alaska Native Language Center, Fairbanks.		
Berry, Jack & Gordon Innes. 1957. Notes on the phonetics of the Grebo language of Liberia. Mitteilungen des Instituts für Orientforschung 5: 287-298.		
Berry, Keith & Christine Berry. 1999. A Description of Abun: a West Papuan Language of Irian Jaya (Pacific Linguistics, Series B 115). Research School of Pacific and Asian Studies, Australian National University, Canberra.	Berry, Keith; Berry, Christine. 1999. A description of Abun: a West Papuan language of Irian Jaya. Research School of Pacific and Asian Studies, Australian National University. 115. 10--22	berry1999abun
Bertinetto, Pier Marco. 2009. Ayoreo (Zamuco): A grammatical sketch. Quaderni del Labatorio di Linguistica 8, Suola Normale Superiore, Pisa. Available at http://linguistica.sns.it/QLL/QLL09/Bertinetto_1.PDF		
Bertinetto, Pier Marco. 2014. Ayoreo. In Pieter Muysken & Mily Crevels (eds.), Lenguas de Bolivia, Tomo III, Oriente, 369-413. Plural Editores, La Paz.		
Beshir (sic), Abeer M. Ali. 2012. Some observations on the phonology of Meidob. In A.H. Mugaddam & M.J. Hashim (eds) Unity and Diversity of Nubian languages: Toward a Standardized Writing System. CASAS, Cape Town: 34–50. Available at http://khartoumspace.uofk.edu/bitstream/handle/123456789/25364/P%204.pdf?sequence=1&isAllowed=y		
Betances, Vibeke L. Lacourt & Hilton Alers. 2009. Rama: descripción tipológica de una lengua en peligro de extinción. Universidad de Puerto Rico, Mayaguez.		
Bevington, Gary Lloyd. 1974. Albanian Phonology. Otto Harrassowitz, Wiesbaden.		
Bhaskararao, Peri, S. Hassan, I. A. Naikoo. P. A. Ganai, N. H. Wani & T. Ahmad. 0000 A Phonetic study of Kashmiri palatalization. Working Papers in Corpus-based Linguistics and Language Education (Tokyo University of Foreign Studies) 3: 1-17.		
Bhat, D. N. S., and M. S. Ningomba. 1997. Manipuri Grammar. Lincom Europa. München and Newcastle.		
Bhat, D.N.S. 1967. Descriptive Analysis of Tulu. (Building Centenary and Silver Jubilee Series, 15). Deccan College Postgraduate and Research Institute, Pune. (has some frequency data from text containing 10,000 phonemes)		
Bhat, D.N.S. 1989. Tulu. In The Dravidian Languages, ed. Sanford B. Steever. Routledge, London and New York: 158-177.		
Bhat, R. 1987. A descriptive study of Kashmiri. Amar Prakashan, Delhi.	Bhat, R.. 1987. {A Descriptive Study of Kashmiri}. Delhi. Amar Prakashan	Bhat1987
Bhattacharya, Krishna. 1988. Bengali Phonetic Reader. Central Institute of Indian Languages, Mysore.	Bhattacharya, Krishna. 1988. Bengali Phonetic reader. Mysore. Central Institute of Indian Languages	1711_Bhattacharya1988
Bicheldej, K. A. 1981. Inventar glasnyx fonem Tuvinskogo jazyka. In Ubratova, E. M. (ed.) Eksperimentaljno-foneticheskie Issledovania Sibirskiz Jazykov. Akademia Nauk SSSR, Sibirskoe Otdelenie, Novosibirsk: 32-47.		
Bicheldej, K. A. 1982. Akusticheskie xarakteristiki kratkix glasnyx sovremennogo Tuvinskogo jazyka. In Nadeljaev, V. M. (ed) Eksperimentaljnaja Fonetika Sibirskiz Jazykov. Akademia Nauk SSSR, Sibirskoe Otdelenie, Novosibirsk: 51-67.		
Bidwell, C. 1968. The stress patterns of the noun in Bulgarian. Studies in Linguistics 20: 41-47.	Bidwell, C.. 1968. {The Stress Patterns of the Noun in Bulgarian}. 20. 41--47	Bidwell1968
Biligiri, H. S. 1965. The Sora verb: A restricted study. Lingua 15: 231-250.		
Biligiri, H.S. 1965. Kharia: Phonology, Grammar and Vocabulary. Deccan College, Poona.	Biligiri, H.S.. 1965. Kharia: Phonology, Grammar and Vocabulary. Poona. Deccan College	1740_Biligiri1965
Bird, C., Hutchinson, J., and Kante, M. 1977. An Ka Bamanankan Kalan: Beginning Bambara. Indiana University Press, Bloomington.	Bird, Charles; Hutchinson, J.; Kante, Mamadou. 1977. {An Kan Bamanakan Kalan: Beginning Bambara}. Bloomington. Indiana University Linguistics Club	Bird_etal1977
Birk, D.B.W. 1975. The phonology of Malakmalak. Papers in Australian Linguistics 8 (Pacific Linguistics, Series A, 39): 59-78.	Birk, D.B.W.. 1975. The Phonology of Malakmalak. Pacific Linguistics, Series A-39. Canberra. Australian National University	161795
Blackings, Mairi & Nigel Fabb. 2003. A Grammar of Ma'di. Mouton de Gruyter, Berlin.	Blackings, Mairi; Fabb, Nigel. 2003. A grammar of Ma'di. Berlin. Mouton de Gruyter. 32	1292_snm_blackingsfabb
Blair, Robert & Refugio Vermont-Salas. 1965. Spoken (Yucatec) Maya, Book 1. Department of Anthropology, University of Chicago.		
Blake, Barry J. 1979. A Kalkatungu Grammar. Pacific Linguistics Series B, no. 57. The Australian National University, Canberra. (has limited frequency data from 333 words)		
Blevins, Juliette & Sheldon P. Harrison. 1999. Trimoraic feet in Gilbertese. Oceanic Linguistics 28: 203-230.		
Blevins, Juliette. 2001. Nhanda, An Aboriginal Language of Western Australia (Oceanic Linguistics Special Publication 30). University of Hawai'i Press, Honolulu.	Blevins, Juliette. 2001. Nhanda: An Aboriginal Language of Western Australia. University of Hawai'i Press: Honolulu. Honolulu: University of Hawaii Press. 30. 170	123243
